"Sequence","Species1","Family1","Order1","Avibase.ID1","Total.individuals","Female","Male","Unknown","Complete.measures","Beak.Length_Culmen","Beak.Length_Nares","Beak.Width","Beak.Depth","Tarsus.Length","Wing.Length","Kipps.Distance","Secondary1","Hand.Wing.Index","Tail.Length","Mass","Mass.Source","Mass.Refs.Other","Inference","Traits.inferred","Reference.species","Habitat","Habitat.Density","Migration","Trophic.Level","Trophic.Niche","Primary.Lifestyle","Min.Latitude","Max.Latitude","Centroid.Latitude","Centroid.Longitude","Range.Size","Genus_species","Common_name"
717,"Zenaida macroura","Columbidae","Columbiformes","AVIBASE-00124D98",15,5,7,3,6,19.6,9.3,2.7,3.4,19.6,144.4,53.1,91.6,36.6,122.2,118.9,"Dunning",NA,"NO",NA,NA,"Human Modified",3,1,"Herbivore","Granivore","Terrestrial",7.45,56.32,39.64,-99.32,11131808.01,"Zenaida_macroura","Mourning dove"
5733,"Tyrannus verticalis","Tyrannidae","Passeriformes","AVIBASE-2281F1C7",4,2,2,0,4,21.8,13.5,7.5,6.4,18.3,126.1,41.9,84.3,33.2,89.9,39.6,"Dunning",NA,"NO",NA,NA,"Shrubland",3,3,"Carnivore","Invertivore","Insessorial",26.05,53.7,40.94,-108.96,5067458.79,"Tyrannus_verticalis","Western kingbird"
5893,"Contopus sordidulus","Tyrannidae","Passeriformes","AVIBASE-F6CA75F0",14,5,5,4,4,16.4,9.2,6.4,4.1,13.8,82.6,29,57.7,33.5,60.2,13.1,"Dunning",NA,"NO",NA,NA,"Forest",1,3,"Carnivore","Invertivore","Insessorial",7.31,67.81,45.91,-116.12,6939803.44,"Contopus_sordidulus","Western wood pewee"
7331,"Eremophila alpestris","Alaudidae","Passeriformes","AVIBASE-FC0A1D95",14,6,8,0,4,13.9,9.2,4.2,5,23.5,108.1,41.7,66.2,38.6,71.4,33.3,"Dunning",NA,"NO",NA,NA,"Grassland",3,3,"Omnivore","Omnivore","Terrestrial",4.06,77.73,53.86,4.61,35118904.89,"Eremophila_alpestris","Horned lark"
6979,"Corvus corax","Corvidae","Passeriformes","AVIBASE-B9B272F4",46,15,31,0,10,77,49.2,21.9,27.9,67.1,419.7,167.2,252.7,39.8,228.7,928,"Dunning",NA,"NO",NA,NA,"Forest",3,2,"Omnivore","Omnivore","Terrestrial",12.76,83.11,54.65,18.59,52288449.5,"Corvus_corax","Common raven"
8683,"Sturnus vulgaris","Sturnidae","Passeriformes","AVIBASE-94A44032",28,11,17,0,10,30.2,18.5,6.6,6.5,29,128.3,49.2,79.1,38.4,65.8,77.1,"Dunning",NA,"NO",NA,NA,"Human Modified",3,2,"Omnivore","Omnivore","Insessorial",24.55,71.19,50.32,52.41,17082191.68,"Sturnus_vulgaris","Common starling"
10527,"Molothrus ater","Icteridae","Passeriformes","AVIBASE-1E1AB415",5,2,3,0,4,17.6,11.1,5.8,8.9,24.7,105,33.9,68.8,33,69.8,40.3,"Dunning",NA,"NO",NA,NA,"Forest",2,3,"Carnivore","Invertivore","Terrestrial",17,67.45,43,-101.66,11727469.53,"Molothrus_ater","Brown-headed cowbird"
10522,"Agelaius phoeniceus","Icteridae","Passeriformes","AVIBASE-C86D078E",7,2,5,0,6,22.7,15.4,5.6,8.8,28,118,27.8,88.9,24,88.9,50.8,"Dunning",NA,"NO",NA,NA,"Wetland",3,3,"Herbivore","Granivore","Generalist",9.66,67.41,44.62,-102.04,13703226.95,"Agelaius_phoeniceus","Red-winged blackbird"
10450,"Sturnella neglecta","Icteridae","Passeriformes","AVIBASE-4A5B4883",5,2,3,0,4,33.8,22,6.1,7.5,35,117,32.5,84.5,27.8,71.6,100.1,"Dunning",NA,"NO",NA,NA,"Grassland",3,2,"Omnivore","Invertivore","Terrestrial",21.43,56.55,42.66,-107.09,6719237.68,"Sturnella_neglecta","Western meadowlark"
10534,"Euphagus cyanocephalus","Icteridae","Passeriformes","AVIBASE-EA5E858A",5,2,3,0,4,22.6,14.4,5.8,7.5,31,126.4,39.1,86.2,31.2,100.6,62.5,"Dunning",NA,"NO",NA,NA,"Human Modified",3,2,"Carnivore","Omnivore","Terrestrial",30.05,62.06,46.92,-110.63,5280448.27,"Euphagus_cyanocephalus","Brewer's blackbird"
10297,"Spizella passerina","Passerellidae","Passeriformes","AVIBASE-37E9CCDA",5,2,3,0,4,13.1,7,4,4.9,16.3,68,16.3,51,24.2,56,12.2,"Dunning",NA,"NO",NA,NA,"Forest",2,3,"Omnivore","Omnivore","Generalist",12.94,66.24,47.04,-103.73,13081064.54,"Spizella_passerina","Chipping sparrow"
10441,"Melospiza melodia","Passerellidae","Passeriformes","AVIBASE-A5F09E05",6,2,3,1,5,13.4,8.5,5.3,6.7,21.5,66.3,13.2,52.6,20.1,67.2,21.9,"Dunning",NA,"NO",NA,NA,"Shrubland",2,2,"Omnivore","Omnivore","Generalist",18.99,62.57,47.88,-103.48,10313728.38,"Melospiza_melodia","Song sparrow"
10358,"Pipilo maculatus","Passerellidae","Passeriformes","AVIBASE-0B0BC750",13,5,8,0,13,17.4,10.3,6,8,28.4,85.8,11.8,74,13.7,99.4,39.3,"Dunning",NA,"NO",NA,NA,"Forest",2,2,"Omnivore","Omnivore","Generalist",14.26,54.19,41.83,-112.1,3630810.42,"Pipilo_maculatus","Spotted towhee"
10704,"Pheucticus melanocephalus","Cardinalidae","Passeriformes","AVIBASE-824361E5",17,8,9,0,10,19.1,13,9.1,12.1,22.9,100.5,24.3,76,24.2,72.8,47.1,"Dunning",NA,"NO",NA,NA,"Forest",2,3,"Carnivore","Invertivore","Insessorial",16.29,51.51,39.12,-109.95,4524419.42,"Pheucticus_melanocephalus","Black-headed grosbeak"
10741,"Piranga ludoviciana","Cardinalidae","Passeriformes","AVIBASE-0ADA5F17",8,3,5,0,4,18.5,11.2,6.3,7.3,20.1,94.8,27.2,67.3,28.6,71.1,28.1,"Dunning",NA,"NO",NA,NA,"Forest",1,3,"Carnivore","Invertivore","Insessorial",29.41,63.85,48.1,-116.44,3662121.88,"Piranga_ludoviciana","Western tanager"
7697,"Petrochelidon pyrrhonota","Hirundinidae","Passeriformes","AVIBASE-F5C181CA",12,3,5,4,4,11.3,5.9,4.5,3,12.6,109.3,54.2,56.4,49,49.2,21.6,"Dunning",NA,"NO",NA,NA,"Grassland",3,3,"Carnivore","Invertivore","Aerial",16.24,66.98,46.7,-108.51,11994340.08,"Petrochelidon_pyrrhonota","Cliff swallow"
7714,"Hirundo rustica","Hirundinidae","Passeriformes","AVIBASE-58C502EA",68,23,24,21,10,12.4,6,4.5,2.7,11.7,115.8,62.3,56,52.6,71.4,17.9,"Dunning",NA,"NO",NA,NA,"Human Modified",3,3,"Carnivore","Invertivore","Aerial",-37.53,71.13,47.56,34.57,51701054.06,"Hirundo_rustica","Barn swallow"
6399,"Vireo gilvus","Vireonidae","Passeriformes","AVIBASE-66AA469C",21,5,13,3,11,14.3,7.5,3.7,3.7,17.6,70.1,16.5,53.5,23.5,51.3,12.7,"Dunning",NA,"NO",NA,NA,"Forest",1,3,"Carnivore","Invertivore","Insessorial",16.11,66.86,45.21,-105.84,9680437.56,"Vireo_gilvus","Warbling vireo"
8598,"Troglodytes aedon","Troglodytidae","Passeriformes","AVIBASE-7B6E99A9",104,12,20,72,26,15.9,9.8,3,3.1,20.1,51.4,6.7,44.9,12.9,41.1,10.9,"Dunning",NA,"NO",NA,NA,"Shrubland",3,1,"Carnivore","Invertivore","Insessorial",-55.72,59.66,4.96,-75.18,25653883.47,"Troglodytes_aedon","House wren"
8976,"Turdus migratorius","Turdidae","Passeriformes","AVIBASE-103427C5",14,8,6,0,5,23.4,12.5,5.6,6.8,32.7,127,36.9,90.3,29,95.7,78.5,"Dunning",NA,"NO",NA,NA,"Forest",3,3,"Omnivore","Invertivore","Generalist",15.92,70.58,50.87,-106.8,16455945.96,"Turdus_migratorius","American robin"
