X,Y,Date,Daily.Max.8.hour.Ozone.Concentration
-78.50397,38.0765700009162,03/01/2019,0.029
-78.50397,38.0765700009162,03/02/2019,0.027
-78.50397,38.0765700009162,03/03/2019,0.029
-78.50397,38.0765700009162,03/04/2019,0.043
-78.50397,38.0765700009162,03/05/2019,0.043
-78.50397,38.0765700009162,03/06/2019,0.042
-78.50397,38.0765700009162,03/07/2019,0.044
-78.50397,38.0765700009162,03/08/2019,0.035
-78.50397,38.0765700009162,03/09/2019,0.033
-78.50397,38.0765700009162,03/10/2019,0.04
-78.50397,38.0765700009162,03/11/2019,0.046
-78.50397,38.0765700009162,03/12/2019,0.049
-78.50397,38.0765700009162,03/13/2019,0.052
-78.50397,38.0765700009162,03/14/2019,0.051
-78.50397,38.0765700009162,03/15/2019,0.041
-78.50397,38.0765700009162,03/16/2019,0.048
-78.50397,38.0765700009162,03/17/2019,0.047
-78.50397,38.0765700009162,03/18/2019,0.044
-78.50397,38.0765700009162,03/19/2019,0.049
-78.50397,38.0765700009162,03/20/2019,0.052
-78.50397,38.0765700009162,03/21/2019,0.046
-78.50397,38.0765700009162,03/22/2019,0.045
-78.50397,38.0765700009162,03/23/2019,0.048
-78.50397,38.0765700009162,03/24/2019,0.056
-78.50397,38.0765700009162,03/25/2019,0.045
-78.50397,38.0765700009162,03/26/2019,0.045
-78.50397,38.0765700009162,03/27/2019,0.047
-78.50397,38.0765700009162,03/28/2019,0.054
-78.50397,38.0765700009162,03/29/2019,0.058
-78.50397,38.0765700009162,03/30/2019,0.06
-78.50397,38.0765700009162,03/31/2019,0.046
-78.50397,38.0765700009162,04/01/2019,0.047
-78.50397,38.0765700009162,04/02/2019,0.044
-78.50397,38.0765700009162,04/03/2019,0.056
-78.50397,38.0765700009162,04/04/2019,0.058
-78.50397,38.0765700009162,04/05/2019,0.038
-78.50397,38.0765700009162,04/06/2019,0.042
-78.50397,38.0765700009162,04/07/2019,0.039
-78.50397,38.0765700009162,04/08/2019,0.043
-78.50397,38.0765700009162,04/09/2019,0.049
-78.50397,38.0765700009162,04/10/2019,0.055
-78.50397,38.0765700009162,04/11/2019,0.044
-78.50397,38.0765700009162,04/12/2019,0.036
-78.50397,38.0765700009162,04/13/2019,0.044
-78.50397,38.0765700009162,04/14/2019,0.04
-78.50397,38.0765700009162,04/15/2019,0.046
-78.50397,38.0765700009162,04/16/2019,0.049
-78.50397,38.0765700009162,04/17/2019,0.057
-78.50397,38.0765700009162,04/18/2019,0.053
-78.50397,38.0765700009162,04/19/2019,0.034
-78.50397,38.0765700009162,04/20/2019,0.039
-78.50397,38.0765700009162,04/21/2019,0.036
-78.50397,38.0765700009162,04/22/2019,0.045
-78.50397,38.0765700009162,04/23/2019,0.048
-78.50397,38.0765700009162,04/24/2019,0.043
-78.50397,38.0765700009162,04/25/2019,0.049
-78.50397,38.0765700009162,04/26/2019,0.049
-78.50397,38.0765700009162,04/27/2019,0.053
-78.50397,38.0765700009162,04/28/2019,0.048
-78.50397,38.0765700009162,04/29/2019,0.04
-78.50397,38.0765700009162,04/30/2019,0.042
-78.50397,38.0765700009162,05/01/2019,0.03
-78.50397,38.0765700009162,05/02/2019,0.033
-78.50397,38.0765700009162,05/03/2019,0.042
-78.50397,38.0765700009162,05/04/2019,0.041
-78.50397,38.0765700009162,05/05/2019,0.03
-78.50397,38.0765700009162,05/06/2019,0.044
-78.50397,38.0765700009162,05/07/2019,0.041
-78.50397,38.0765700009162,05/08/2019,0.045
-78.50397,38.0765700009162,05/09/2019,0.038
-78.50397,38.0765700009162,05/10/2019,0.037
-78.50397,38.0765700009162,05/11/2019,0.024
-78.50397,38.0765700009162,05/12/2019,0.026
-78.50397,38.0765700009162,05/13/2019,0.026
-78.50397,38.0765700009162,05/14/2019,0.037
-78.50397,38.0765700009162,05/15/2019,0.044
-78.50397,38.0765700009162,05/16/2019,0.054
-78.50397,38.0765700009162,05/17/2019,0.044
-78.50397,38.0765700009162,05/18/2019,0.05
-78.50397,38.0765700009162,05/19/2019,0.05
-78.50397,38.0765700009162,05/21/2019,0.042
-78.50397,38.0765700009162,05/22/2019,0.045
