"Year","Lat","Lon","AreaSwept_km2","Response_variable","Data_type"
2009,30.264,-87.398,0.036539,130.97,"Biomass_KG"
2010,30.277,-87.448,0.041403,0,"Biomass_KG"
2011,30.267,-87.407,0.023283,0,"Biomass_KG"
2008,30.285,-87.238,0.044061,0,"Biomass_KG"
2009,30.283,-87.278,0.034503,87.7,"Biomass_KG"
2010,30.284,-87.301,0.044247,0,"Biomass_KG"
2010,30.265,-87.173,0.023006,0,"Biomass_KG"
2011,30.285,-87.267,0.026031,0,"Biomass_KG"
2013,30.302,-87.258,0.033479,0,"Biomass_KG"
2011,30.337,-87.053,0.027402,0,"Biomass_KG"
2008,30.252,-87.012,0.04468,0,"Biomass_KG"
2009,30.35,-86.989,0.036938,0,"Biomass_KG"
2010,30.266,-87.162,0.038325,0,"Biomass_KG"
2014,30.29,-87.033,0.032168,0,"Biomass_KG"
2009,30.302,-87.113,0.034263,0,"Biomass_KG"
2009,30.316,-87.063,0.033941,0,"Biomass_KG"
2009,30.321,-87.026,0.034503,0,"Biomass_KG"
2009,30.35,-86.965,0.033479,0,"Biomass_KG"
2010,30.247,-86.972,0.038277,0,"Biomass_KG"
2010,30.291,-86.96,0.036364,0,"Biomass_KG"
2010,30.328,-86.811,0.036035,0,"Biomass_KG"
2009,30.349,-86.924,0.041159,4.738,"Biomass_KG"
2014,30.272,-86.894,0.036564,0,"Biomass_KG"
2011,30.267,-86.637,0.035212,0,"Biomass_KG"
2011,30.359,-86.662,0.031709,496.76,"Biomass_KG"
2009,30.314,-86.703,0.031709,0,"Biomass_KG"
2014,30.354,-86.714,0.036539,0,"Biomass_KG"
2008,30.33,-86.47,0.04629,0,"Biomass_KG"
2011,30.266,-86.597,0.034688,0,"Biomass_KG"
2014,30.254,-86.596,0.033833,0,"Biomass_KG"
2014,30.31,-86.489,0.03276,0,"Biomass_KG"
2009,30.341,-86.589,0.035754,0,"Biomass_KG"
2013,30.26,-86.603,0.040959,0,"Biomass_KG"
2013,30.38,-86.526,0.040712,0,"Biomass_KG"
2013,30.337,-86.474,0.036439,403.1,"Biomass_KG"
2010,30.382,-86.581,0.038777,164.74,"Biomass_KG"
2009,30.263,-86.564,0.031593,0,"Biomass_KG"
2014,30.334,-86.537,0.034794,0,"Biomass_KG"
2010,30.279,-86.3,0.041159,1004.6,"Biomass_KG"
2011,30.328,-86.404,0.032168,0,"Biomass_KG"
